('H:/Downloads/uai08_test1.uai', '100')
Z = 0.36215648652885457
t = 0.109698124
Z = 0.8039510146267155
t = 0.10954939
Z = 0.6613350494300964
t = 0.101834496
Z = 0.9385513029724594
t = 0.10801866
Z = 0.5603411413139437
t = 0.106533775
Z = 0.5369847417817809
t = 0.107328186
Z = 1.2733925322167723
t = 0.106866588
Z = 2.0629097747591945
t = 0.107189602
Z = 1.2828614316713263
t = 0.107353734
Z = 1.2178489394877174
t = 0.10711751
('H:/Downloads/uai08_test1.uai', '1000')
Z = 0.7537922314807459
t = 0.834392783
Z = 0.7035517895617335
t = 0.831854164
Z = 0.6693335985617574
t = 0.792550727
Z = 0.7765739810590659
t = 0.836372512
Z = 0.7939481588589339
t = 0.8337828
Z = 0.8820907615649961
t = 0.833210964
Z = 0.8210175286900092
t = 0.79450386
Z = 0.8183529886505944
t = 0.842311354
Z = 1.082804451410074
t = 0.846732063
Z = 0.7152065834683248
t = 0.84261582
('H:/Downloads/uai08_test1.uai', '10000')
Z = 0.995642578620706
t = 7.589532312
Z = 0.8629261304897613
t = 8.117953707
Z = 1.0049054884426765
t = 8.164507639
Z = 1.7103961048164362
t = 8.073932093
Z = 0.8616902287429642
t = 8.127452003
Z = 1.3136011331446846
t = 8.062533509
Z = 1.2245000947453815
t = 8.081643487
Z = 0.9812387089935879
t = 8.145442456
Z = 0.8368800909125956
t = 8.116113262
Z = 0.8175032495689356
t = 8.078814402
('H:/Downloads/uai08_test1.uai', '100000')
Z = 0.9329573498259693
t = 75.8549495
Z = 1.0245220750101467
t = 80.382467297
Z = 0.9564450265348783
t = 75.885511608
Z = 1.2196431776082772
t = 80.358606244
Z = 0.947801518901313
t = 80.242585723
Z = 0.9843051226956362
t = 80.286679778
Z = 0.9456363512877903
t = 80.480887921
Z = 1.0656184503800041
t = 80.310197518
Z = 0.9595136766895103
t = 80.275020123
Z = 0.9933248588470186
t = 76.102286296
('H:/Downloads/uai08_test1.uai', '1000000')
Z = 0.932794012459176
t = 807.239703793
Z = 0.974971046091863
t = 803.756383292
Z = 0.9756898248003378
t = 759.346174925
